ENA|VUNM01000021|VUNM01000021.1,0,43741,UniRef50_UPI000F7AA79D,33683,36212	ENA|VUNM01000021|VUNM01000021.1,0,43741,UniRef50_UPI000F7AA79D,33683,36212
Ga0326538_05,106315,308626,UniRef50_A0A2P8ALN9,174029,176168	ENA|RBXT01000001|RBXT01000001.1,3486381,3688846,UniRef50_A0A2P8ALN9,3554076,3556230
ERZ918880.40249,0,42580,UniRef50_R6QHH1,25901,28712	ERZ918880.40249,0,42580,UniRef50_R6QHH1,25901,28712
ENA|QKJQ01000033|QKJQ01000033.1,0,121138,UniRef50_A0A4R6CQE3,110569,113356	ENA|QKJQ01000033|QKJQ01000033.1,0,121138,UniRef50_A0A4R6CQE3,110569,113356
ERZ918850.40519,39677,100666,UniRef50_A0A415IJP7,40098,44292	ERZ918850.40519,39677,100666,UniRef50_A0A415IJP7,40098,44292
ERZ1024273.227,37757,63708,UniRef50_A0A373LXW0,40606,44722	ERZ1024273.227,37757,63708,UniRef50_A0A373LXW0,40606,44722
ERZ1024273.227,37757,63708,UniRef50_A0A373LXW0,40606,44722	ERZ922498.358,0,25952,UniRef50_A0A373LXW0,18989,23105
ERZ1024273.227,37757,63708,UniRef50_A0A373LXW0,40606,44722	ERZ930613.51476,0,26558,UniRef50_A0A373LXW0,19592,23708
ERZ940937.120088,0,20505,UniRef50_A0A1T4LZF3,16548,18987	ERZ940937.120088,0,20505,UniRef50_A0A1T4LZF3,16548,18987
ERZ940937.120088,0,20505,UniRef50_A0A1T4LZF3,16548,18987	ERZ940785.26622,0,27994,UniRef50_A0A1T4LZF3,25223,27932
ERZ919304.254,0,70979,UniRef50_A0A4P8XVS3,301,3082	ERZ919304.254,0,70979,UniRef50_A0A4P8XVS3,301,3082
ENA|WBZR01000612|WBZR01000612.1,15545,54502,UniRef50_A0A2N2YJI8,50185,52786	ENA|WBZR01000612|WBZR01000612.1,15545,54502,UniRef50_A0A2N2YJI8,50185,52786
ERZ918338.87303,1433,90156,UniRef50_S0FEG1,1687,6160	ERZ918338.87303,1433,90156,UniRef50_S0FEG1,1687,6160
ERZ926620.43616,0,86012,UniRef50_A0A412I3R0,1028,5159	ERZ926620.43616,0,86012,UniRef50_A0A412I3R0,1028,5159
ENA|VDCV01000016|VDCV01000016.1,32728219,32892970,UniRef50_U2SSY7,32753218,32757721	ENA|VDCV01000016|VDCV01000016.1,32728219,32892970,UniRef50_U2SSY7,32753218,32757721
ERZ919320.1342,0,25488,UniRef50_A0A1S1V9T5,6119,9965	ERZ919320.1342,0,25488,UniRef50_A0A1S1V9T5,6119,9965
ENA-OLOX01000725-OLOX01000725.1-human-gut-metagenome-genome-assembly--contig:-NODE-725-length-34168-cov-5.455134,0,34168,UniRef50_G9RUL1,29420,32684	ENA-OLOX01000725-OLOX01000725.1-human-gut-metagenome-genome-assembly--contig:-NODE-725-length-34168-cov-5.455134,0,34168,UniRef50_G9RUL1,29420,32684
ENA-OLOX01000725-OLOX01000725.1-human-gut-metagenome-genome-assembly--contig:-NODE-725-length-34168-cov-5.455134,0,34168,UniRef50_G9RUL1,29420,32684	ERZ918127.38035,0,14939,UniRef50_G9RUL1,9935,13199
ENA-OLOX01000725-OLOX01000725.1-human-gut-metagenome-genome-assembly--contig:-NODE-725-length-34168-cov-5.455134,0,34168,UniRef50_G9RUL1,29420,32684	ERZ919498.28524,0,13109,UniRef50_G9RUL1,2792,6056
ENA-OLOX01000725-OLOX01000725.1-human-gut-metagenome-genome-assembly--contig:-NODE-725-length-34168-cov-5.455134,0,34168,UniRef50_G9RUL1,29420,32684	ERZ918833.82905,0,23041,UniRef50_G9RUL1,1556,4820
NZ_FOYH01000002.1,228843,392102,UniRef50_R5YGP2,287070,290070	NZ_FOYH01000002.1,228843,392102,UniRef50_R5YGP2,287070,290070
NZ_CP014335.1,273217,409827,UniRef50_A0A0D8BYB2,308248,311083	NZ_CP014335.1,273217,409827,UniRef50_A0A0D8BYB2,308248,311083
ENA|RFGF01000038|RFGF01000038.1,0,8939,UniRef50_A0A2H6JTC4,4283,5627	ENA|RFGF01000038|RFGF01000038.1,0,8939,UniRef50_A0A2H6JTC4,4283,5627
ERZ918922.43546,0,71590,UniRef50_A0A3E2XUE7,7544,11582	ERZ918922.43546,0,71590,UniRef50_A0A3E2XUE7,7544,11582
ERZ916059.16263,27681,105737,UniRef50_Q6NKI3,27850,30796	ERZ916059.16263,27681,105737,UniRef50_Q6NKI3,27850,30796
ERZ839936.3,0,51589,UniRef50_R5R3T7,42126,46254	ERZ839936.3,0,51589,UniRef50_R5R3T7,42126,46254
ERZ839936.3,0,51589,UniRef50_R5R3T7,42126,46254	ERZ918770.10088,0,7873,UniRef50_R5R3T7,881,5009
ERZ839936.3,0,51589,UniRef50_R5R3T7,42126,46254	ERZ1036632.3995,0,22132,UniRef50_R5R3T7,15366,19494
Ga0264364_01,3260096,3314914,UniRef50_A0A1V5PKA1,3305462,3307463	Ga0264364_01,3260096,3314914,UniRef50_A0A1V5PKA1,3305462,3307463
ERZ1024269.690,23578,50804,UniRef50_G6B158,34779,38412	ERZ1024269.690,23578,50804,UniRef50_G6B158,34779,38412
ERZ1024269.690,23578,50804,UniRef50_G6B158,34779,38412	ERZ919351.8,463628,540662,UniRef50_G6B158,499680,503313
ENA|LXYS01000002|LXYS01000002.1,103239,267889,UniRef50_A0A432V8F0,138082,141361	ENA|LXYS01000002|LXYS01000002.1,103239,267889,UniRef50_A0A432V8F0,138082,141361
NZ_JH815185.1,1540777,1783593,UniRef50_A0A5B9DB16,1773709,1776013	NZ_JH815185.1,1540777,1783593,UniRef50_A0A5B9DB16,1773709,1776013
ERZ918348.32629,0,45831,UniRef50_A0A422M2F9,38183,40757	ERZ918348.32629,0,45831,UniRef50_A0A422M2F9,38183,40757
ENA|QBUK01000007|QBUK01000007.1,12971,129284,UniRef50_A0A140GR79,65384,67676	ENA|QBUK01000007|QBUK01000007.1,12971,129284,UniRef50_A0A140GR79,65384,67676
ENA|QBUK01000007|QBUK01000007.1,12971,129284,UniRef50_A0A140GR79,65384,67676	NZ_QBUK01000007.1,37444,88541,UniRef50_A0A140GR79,65384,67676
ERZ918656.928,11321,84683,UniRef50_A0A316RPF6,42547,46624	ERZ918656.928,11321,84683,UniRef50_A0A316RPF6,42547,46624
ERZ918656.928,11321,84683,UniRef50_A0A316RPF6,42547,46624	Ga0169214_10204,0,47274,UniRef50_A0A316RPF6,11970,16047
ERZ964362.84651,6891,47656,UniRef50_C5F1G9,40592,42920	ERZ964362.84651,6891,47656,UniRef50_C5F1G9,40592,42920
ERZ917862.16193,95219,130168,UniRef50_UPI000E5CDAED,108051,112125	ERZ917862.16193,95219,130168,UniRef50_UPI000E5CDAED,108051,112125
ERZ917862.16193,95219,130168,UniRef50_UPI000E5CDAED,108051,112125	ENA|OPWY01000234|OPWY01000234.1,0,38797,UniRef50_UPI000E5CDAED,8677,12751
ERZ917862.16193,95219,130168,UniRef50_UPI000E5CDAED,108051,112125	ENA|UPCZ01000774|UPCZ01000774.1,0,25709,UniRef50_UPI000E5CDAED,4151,8225
ENA|PXUA01000004|PXUA01000004.1,0,85047,UniRef50_A0A5B9DB16,33740,35969	ENA|PXUA01000004|PXUA01000004.1,0,85047,UniRef50_A0A5B9DB16,33740,35969
NZ_NFDB01000021.1,124183,175271,UniRef50_F0PZE9,136129,139339	NZ_NFDB01000021.1,124183,175271,UniRef50_F0PZE9,136129,139339
NZ_NFDB01000021.1,124183,175271,UniRef50_F0PZE9,136129,139339	NZ_NFCY01000029.1,85470,136558,UniRef50_F0PZE9,121401,124611
ENA|PJAY01000050|PJAY01000050.1,0,131203,UniRef50_A0A5J4QDV0,12644,14747	ENA|PJAY01000050|PJAY01000050.1,0,131203,UniRef50_A0A5J4QDV0,12644,14747
ENA|PLXO01000041|PLXO01000041.1,0,76622,UniRef50_A0A2E1ELS2,27379,29956	ENA|PLXO01000041|PLXO01000041.1,0,76622,UniRef50_A0A2E1ELS2,27379,29956
NZ_DS264589.1,378014,428766,UniRef50_A0Q5Y3,392297,397187	NZ_DS264589.1,378014,428766,UniRef50_A0Q5Y3,392297,397187
ENA-OGGS01001073-OGGS01001073.1-metagenome-genome-assembly--contig:-NODE-1073-length-21195-cov-7.997635,0,21195,UniRef50_A0A373K5X6,12222,15222	ENA-OGGS01001073-OGGS01001073.1-metagenome-genome-assembly--contig:-NODE-1073-length-21195-cov-7.997635,0,21195,UniRef50_A0A373K5X6,12222,15222
ENA|VDFB01022710|VDFB01022710.1,419699,482135,UniRef50_Q9CLT2,454531,457135	ENA|VDFB01022710|VDFB01022710.1,419699,482135,UniRef50_Q9CLT2,454531,457135
ENA|VYLG01000024|VYLG01000024.1,28162,80616,UniRef50_A0A1Y2L5Z1,36860,40064	ENA|VYLG01000024|VYLG01000024.1,28162,80616,UniRef50_A0A1Y2L5Z1,36860,40064
ENA|SLXZ01000002|SLXZ01000002.1,214634,416351,UniRef50_A0A4R8MGP6,373176,375213	ENA|SLXZ01000002|SLXZ01000002.1,214634,416351,UniRef50_A0A4R8MGP6,373176,375213
ENA-UOPL01000476-UOPL01000476.1-bioreactor-sludge-metagenome-genome-assembly--contig:-NODE-476-length-56266-cov-7.597178,17638,56266,UniRef50_G8XA12,20090,24464	ENA-UOPL01000476-UOPL01000476.1-bioreactor-sludge-metagenome-genome-assembly--contig:-NODE-476-length-56266-cov-7.597178,17638,56266,UniRef50_G8XA12,20090,24464
NZ_QTVC01000011.1,3466,54212,UniRef50_A0A412L761,4636,6844	NZ_QTVC01000011.1,3466,54212,UniRef50_A0A412L761,4636,6844
ENA|QZMC01000119|QZMC01000119.1,10475,71809,UniRef50_A0A425VYB9,62780,65900	ENA|QZMC01000119|QZMC01000119.1,10475,71809,UniRef50_A0A425VYB9,62780,65900
NZ_KQ031376.1,28052,123121,UniRef50_UPI0009D9FD4A,100417,102418	NZ_KQ031376.1,28052,123121,UniRef50_UPI0009D9FD4A,100417,102418
Ga0169629_100505,0,39334,UniRef50_A0A173SPI3,12847,16597	Ga0169629_100505,0,39334,UniRef50_A0A173SPI3,12847,16597
Ga0169629_100505,0,39334,UniRef50_A0A173SPI3,12847,16597	ERZ918688.64179,0,43595,UniRef50_A0A173SPI3,34167,37917
Ga0169629_100505,0,39334,UniRef50_A0A173SPI3,12847,16597	ENA|OGUL01000378|OGUL01000378.1,0,53889,UniRef50_A0A173SPI3,5606,9356
ENA|WLYU01000067|WLYU01000067.1,911137,971821,UniRef50_D5ESN1,943167,945900	ENA|WLYU01000067|WLYU01000067.1,911137,971821,UniRef50_D5ESN1,943167,945900
ERZ964359.144678,2762,53778,UniRef50_C0FXH5,3013,6355	ERZ964359.144678,2762,53778,UniRef50_C0FXH5,3013,6355
ERZ1024276.4105,0,30122,UniRef50_A0A0S2HX99,11878,16006	ERZ1024276.4105,0,30122,UniRef50_A0A0S2HX99,11878,16006
ERZ1024276.4105,0,30122,UniRef50_A0A0S2HX99,11878,16006	ERZ919316.1140,0,31353,UniRef50_A0A0S2HX99,7293,11421
ERZ1024276.4105,0,30122,UniRef50_A0A0S2HX99,11878,16006	ERZ1048873.12,0,54592,UniRef50_A0A0S2HX99,11613,15741
ENA-ORTC01001437-ORTC01001437.1-human-gut-metagenome-genome-assembly--contig:-NODE-1437-length-12416-cov-8.18154,0,12416,UniRef50_A0A316RPF6,7483,11572	ENA-ORTC01001437-ORTC01001437.1-human-gut-metagenome-genome-assembly--contig:-NODE-1437-length-12416-cov-8.18154,0,12416,UniRef50_A0A316RPF6,7483,11572
ENA-ORTC01001437-ORTC01001437.1-human-gut-metagenome-genome-assembly--contig:-NODE-1437-length-12416-cov-8.18154,0,12416,UniRef50_A0A316RPF6,7483,11572	ENA|UMDP01038807|UMDP01038807.1,0,11520,UniRef50_A0A316RPF6,1103,5192
ENA-ORTC01001437-ORTC01001437.1-human-gut-metagenome-genome-assembly--contig:-NODE-1437-length-12416-cov-8.18154,0,12416,UniRef50_A0A316RPF6,7483,11572	ERZ933775.36,0,10891,UniRef50_A0A316RPF6,2844,6933
ENA-ORTC01001437-ORTC01001437.1-human-gut-metagenome-genome-assembly--contig:-NODE-1437-length-12416-cov-8.18154,0,12416,UniRef50_A0A316RPF6,7483,11572	ERZ914005.53215,0,14772,UniRef50_A0A316RPF6,2064,6153
ENA-ORTC01001437-ORTC01001437.1-human-gut-metagenome-genome-assembly--contig:-NODE-1437-length-12416-cov-8.18154,0,12416,UniRef50_A0A316RPF6,7483,11572	ERZ931102.71,0,13021,UniRef50_A0A316RPF6,844,4933
ENA-ORTC01001437-ORTC01001437.1-human-gut-metagenome-genome-assembly--contig:-NODE-1437-length-12416-cov-8.18154,0,12416,UniRef50_A0A316RPF6,7483,11572	ENA|OWEQ01001981|OWEQ01001981.1,0,14438,UniRef50_A0A316RPF6,3944,8033
ENA-ORTC01001437-ORTC01001437.1-human-gut-metagenome-genome-assembly--contig:-NODE-1437-length-12416-cov-8.18154,0,12416,UniRef50_A0A316RPF6,7483,11572	ERZ918166.57373,0,15469,UniRef50_A0A316RPF6,8094,12183
ENA-ORTC01001437-ORTC01001437.1-human-gut-metagenome-genome-assembly--contig:-NODE-1437-length-12416-cov-8.18154,0,12416,UniRef50_A0A316RPF6,7483,11572	ENA-OLRW01002000-OLRW01002000.1-human-gut-metagenome-genome-assembly--contig:-NODE-2000-length-11989-cov-24.390900,0,11989,UniRef50_A0A316RPF6,23,3950
ENA-ORTC01001437-ORTC01001437.1-human-gut-metagenome-genome-assembly--contig:-NODE-1437-length-12416-cov-8.18154,0,12416,UniRef50_A0A316RPF6,7483,11572	ENA|OGOT01003128|OGOT01003128.1,0,6627,UniRef50_A0A316RPF6,50,3740
ENA-ORTC01001437-ORTC01001437.1-human-gut-metagenome-genome-assembly--contig:-NODE-1437-length-12416-cov-8.18154,0,12416,UniRef50_A0A316RPF6,7483,11572	ERZ824571.2438,0,12908,UniRef50_A0A316RPF6,8042,12131
ENA-ORTC01001437-ORTC01001437.1-human-gut-metagenome-genome-assembly--contig:-NODE-1437-length-12416-cov-8.18154,0,12416,UniRef50_A0A316RPF6,7483,11572	ERZ918445.7135,0,7149,UniRef50_A0A316RPF6,473,4163
ENA-ORTC01001437-ORTC01001437.1-human-gut-metagenome-genome-assembly--contig:-NODE-1437-length-12416-cov-8.18154,0,12416,UniRef50_A0A316RPF6,7483,11572	ERZ919624.8692,0,12560,UniRef50_A0A316RPF6,7555,11644
ENA-ORTC01001437-ORTC01001437.1-human-gut-metagenome-genome-assembly--contig:-NODE-1437-length-12416-cov-8.18154,0,12416,UniRef50_A0A316RPF6,7483,11572	ERZ917531.47598,0,13502,UniRef50_A0A316RPF6,6764,10853
ENA-ORTC01001437-ORTC01001437.1-human-gut-metagenome-genome-assembly--contig:-NODE-1437-length-12416-cov-8.18154,0,12416,UniRef50_A0A316RPF6,7483,11572	ENA-ORUP01002598-ORUP01002598.1-human-gut-metagenome-genome-assembly--contig:-NODE-2598-length-11317-cov-8.238235,0,11317,UniRef50_A0A316RPF6,6384,10473
ENA-ORTC01001437-ORTC01001437.1-human-gut-metagenome-genome-assembly--contig:-NODE-1437-length-12416-cov-8.18154,0,12416,UniRef50_A0A316RPF6,7483,11572	ENA|SKEY01005051|SKEY01005051.1,0,9743,UniRef50_A0A316RPF6,3537,7626
ENA-ORTC01001437-ORTC01001437.1-human-gut-metagenome-genome-assembly--contig:-NODE-1437-length-12416-cov-8.18154,0,12416,UniRef50_A0A316RPF6,7483,11572	ERZ917670.11346,0,11553,UniRef50_A0A316RPF6,6477,10566
ENA-ORTC01001437-ORTC01001437.1-human-gut-metagenome-genome-assembly--contig:-NODE-1437-length-12416-cov-8.18154,0,12416,UniRef50_A0A316RPF6,7483,11572	ERZ925194.78281,0,10756,UniRef50_A0A316RPF6,5630,9719
ENA-ORTC01001437-ORTC01001437.1-human-gut-metagenome-genome-assembly--contig:-NODE-1437-length-12416-cov-8.18154,0,12416,UniRef50_A0A316RPF6,7483,11572	ERZ909741.11370,0,21838,UniRef50_A0A316RPF6,82,4009
ENA-ORTC01001437-ORTC01001437.1-human-gut-metagenome-genome-assembly--contig:-NODE-1437-length-12416-cov-8.18154,0,12416,UniRef50_A0A316RPF6,7483,11572	ENA-OFMN01001591-OFMN01001591.1-human-gut-metagenome-genome-assembly--contig:-NODE-1591-length-14452-cov-7.485379,0,14452,UniRef50_A0A316RPF6,844,4933
ENA-ORTC01001437-ORTC01001437.1-human-gut-metagenome-genome-assembly--contig:-NODE-1437-length-12416-cov-8.18154,0,12416,UniRef50_A0A316RPF6,7483,11572	ENA-OGDF01005700-OGDF01005700.1-human-gut-metagenome-genome-assembly--contig:-NODE-5700-length-12984-cov-4.984918,0,12984,UniRef50_A0A316RPF6,115,4204
ENA-ORTC01001437-ORTC01001437.1-human-gut-metagenome-genome-assembly--contig:-NODE-1437-length-12416-cov-8.18154,0,12416,UniRef50_A0A316RPF6,7483,11572	ERZ918852.40664,0,13327,UniRef50_A0A316RPF6,7865,11954
ENA-ORTC01001437-ORTC01001437.1-human-gut-metagenome-genome-assembly--contig:-NODE-1437-length-12416-cov-8.18154,0,12416,UniRef50_A0A316RPF6,7483,11572	ENA|OPXN01001750|OPXN01001750.1,0,14628,UniRef50_A0A316RPF6,10090,14179
ENA-ORTC01001437-ORTC01001437.1-human-gut-metagenome-genome-assembly--contig:-NODE-1437-length-12416-cov-8.18154,0,12416,UniRef50_A0A316RPF6,7483,11572	ERZ918105.1580,0,8734,UniRef50_A0A316RPF6,2581,6670
ENA-ORTC01001437-ORTC01001437.1-human-gut-metagenome-genome-assembly--contig:-NODE-1437-length-12416-cov-8.18154,0,12416,UniRef50_A0A316RPF6,7483,11572	ERZ917488.2840,0,24003,UniRef50_A0A316RPF6,8053,12142
ENA-ORTC01001437-ORTC01001437.1-human-gut-metagenome-genome-assembly--contig:-NODE-1437-length-12416-cov-8.18154,0,12416,UniRef50_A0A316RPF6,7483,11572	ERZ920231.48041,0,21092,UniRef50_A0A316RPF6,15966,20055
ENA-ORTC01001437-ORTC01001437.1-human-gut-metagenome-genome-assembly--contig:-NODE-1437-length-12416-cov-8.18154,0,12416,UniRef50_A0A316RPF6,7483,11572	ERZ909720.54268,0,12001,UniRef50_A0A316RPF6,6996,11085
ENA-ORTC01001437-ORTC01001437.1-human-gut-metagenome-genome-assembly--contig:-NODE-1437-length-12416-cov-8.18154,0,12416,UniRef50_A0A316RPF6,7483,11572	ERZ919777.29253,0,17086,UniRef50_A0A316RPF6,4380,8469
ENA-ORTC01001437-ORTC01001437.1-human-gut-metagenome-genome-assembly--contig:-NODE-1437-length-12416-cov-8.18154,0,12416,UniRef50_A0A316RPF6,7483,11572	Ga0244802_101335,0,15196,UniRef50_A0A316RPF6,3882,7971
ENA-ORTC01001437-ORTC01001437.1-human-gut-metagenome-genome-assembly--contig:-NODE-1437-length-12416-cov-8.18154,0,12416,UniRef50_A0A316RPF6,7483,11572	ERZ840254.1482,0,22925,UniRef50_A0A316RPF6,115,4204
ENA-ORTC01001437-ORTC01001437.1-human-gut-metagenome-genome-assembly--contig:-NODE-1437-length-12416-cov-8.18154,0,12416,UniRef50_A0A316RPF6,7483,11572	ERZ1106950.1026,0,20928,UniRef50_A0A316RPF6,1279,5368
ENA-ORTC01001437-ORTC01001437.1-human-gut-metagenome-genome-assembly--contig:-NODE-1437-length-12416-cov-8.18154,0,12416,UniRef50_A0A316RPF6,7483,11572	ENA-OLPY01001907-OLPY01001907.1-human-gut-metagenome-genome-assembly--contig:-NODE-1907-length-13663-cov-24.422986,0,13663,UniRef50_A0A316RPF6,2690,6779
ENA-ORTC01001437-ORTC01001437.1-human-gut-metagenome-genome-assembly--contig:-NODE-1437-length-12416-cov-8.18154,0,12416,UniRef50_A0A316RPF6,7483,11572	ERZ976530.74,0,10313,UniRef50_A0A316RPF6,3710,7799
ENA-ORTC01001437-ORTC01001437.1-human-gut-metagenome-genome-assembly--contig:-NODE-1437-length-12416-cov-8.18154,0,12416,UniRef50_A0A316RPF6,7483,11572	ERZ987669.23517,0,13520,UniRef50_A0A316RPF6,2241,6330
ENA-ORTC01001437-ORTC01001437.1-human-gut-metagenome-genome-assembly--contig:-NODE-1437-length-12416-cov-8.18154,0,12416,UniRef50_A0A316RPF6,7483,11572	ENA|UMDR01004716|UMDR01004716.1,0,9593,UniRef50_A0A316RPF6,1144,5233
ENA-ORTC01001437-ORTC01001437.1-human-gut-metagenome-genome-assembly--contig:-NODE-1437-length-12416-cov-8.18154,0,12416,UniRef50_A0A316RPF6,7483,11572	Ga0243863_102314,0,11771,UniRef50_A0A316RPF6,6082,10171
ENA-ORTC01001437-ORTC01001437.1-human-gut-metagenome-genome-assembly--contig:-NODE-1437-length-12416-cov-8.18154,0,12416,UniRef50_A0A316RPF6,7483,11572	ENA|UMKV01026011|UMKV01026011.1,0,7091,UniRef50_A0A316RPF6,1144,5233
ENA-ORTC01001437-ORTC01001437.1-human-gut-metagenome-genome-assembly--contig:-NODE-1437-length-12416-cov-8.18154,0,12416,UniRef50_A0A316RPF6,7483,11572	ENA|OCHI01000972|OCHI01000972.1,0,24386,UniRef50_A0A316RPF6,528,4617
ENA-ORTC01001437-ORTC01001437.1-human-gut-metagenome-genome-assembly--contig:-NODE-1437-length-12416-cov-8.18154,0,12416,UniRef50_A0A316RPF6,7483,11572	ERZ919090.17940,19520,59051,UniRef50_A0A316RPF6,53493,57582
